#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
58 142 Ce  15.48 58  0.90 16  17.34 66  0.83 17  0.62 4  0.22 26 
58 143 Ce  15.83 99 -0.25 20  17.21 111  -0.30 21  0.61 7  -0.84 41 
59 142 Pr  13.97 69 -1.05 38  15.73 82  -1.14 40  0.71 9  -1.78 73 
60 143 Nd  15.54 38  0.40 17  17.37 44  0.33 17  0.64 3 -0.36 26 
60 144 Nd  15.40 28  0.95 12  16.44 30  0.91 12  0.64 2  0.29 20 
60 145 Nd  17.08 35  0.25 11  17.78 37  0.23 12  0.59 2 -0.55 17 
60 146 Nd  16.12 38  0.51 13  16.25 38  0.51 13  0.63 2 -0.25 19 
60 147 Nd  16.96 50 -0.62 17  16.63 49  -0.61 17  0.60 3  -1.39 28 
60 148 Nd  19.70 103  0.70 16  18.90 98  0.72 16  0.53 3 -0.07 22 
60 149 Nd  18.57 38 -0.65 11  17.51 35  -0.62 11  0.55 2  -1.48 18 
60 151 Nd  17.26 34 -0.91 14  16.55 32  -0.89 14  0.60 2  -1.76 24 
61 148 Pm  17.33 59 -1.48 22  16.79 56  -1.45 22  0.62 3  -2.57 36 
62 145 Sm  14.82 28  0.43 14  16.38 32  0.37 14  0.66 2 -0.19 21 
62 148 Sm  17.34 23  0.77 9  17.05 23  0.78 9  0.60 1 -0.01 15 
62 149 Sm  17.95 44 -0.39 11  17.14 42  -0.37 10  0.57 2  -1.12 18 
62 150 Sm  18.77 29  0.64 8  17.57 27  0.66 8  0.56 1 -0.15 14 
62 151 Sm  18.55 41 -0.98 14  17.02 37  -0.93 14  0.59 4  -2.08 34 
62 152 Sm  18.96 26  0.45 10  17.61 24  0.48 10  0.56 2 -0.25 18 
62 153 Sm  17.76 28 -1.08 13  16.62 25  -1.05 12  0.61 3  -2.06 29 
62 155 Sm  17.19 35 -0.80 15  16.77 33  -0.79 15  0.61 3  -1.68 32 
63 152 Eu  19.62 20 -1.60 8  18.09 18  -1.54 8  0.60 2  -3.03 22 
63 153 Eu  17.27 27 -0.83 12  15.98 24  -0.78 11  0.65 3  -1.88 26 
63 154 Eu  19.13 31 -1.43 8  17.92 29  -1.38 8  0.60 3  -2.77 22 
63 155 Eu  17.73 27 -0.54 11  16.87 26  -0.51 11  0.63 2  -1.54 28 
63 156 Eu  17.51 66 -1.34 15  16.97 64  -1.32 15  0.63 3  -2.44 25 
64 153 Gd  19.29 38 -0.87 8  17.59 34  -0.82 8  0.58 3  -1.94 21 
64 155 Gd  19.35 34 -0.67 13  17.94 31  -0.62 13  0.58 2  -1.74 22 
64 156 Gd  18.45 21  0.36 9  17.43 20  0.39 8  0.60 2 -0.61 17 
64 157 Gd  18.36 44 -0.70 12  17.61 42  -0.68 12  0.59 2  -1.63 20 
